Experiment Name,Hypothesis,Channel,Start Date,End Date,Result,Learnings,Next Step
"What you're testing","What you expect to happen","Where you ran it","When it started","When it ended","What actually happened","What you learned from the data","What to do next"
"Daily Prompt Challenge — 30-day test","Running a daily discussion prompt will increase weekly active member rate by 15%.","Discord #general",2026-03-01,2026-03-31,"Weekly active rate increased 18% (from 31% to 49%). Reply rate was highest for opinion-based prompts vs factual ones.","Daily prompts work. Opinion-based questions get 3x more replies than knowledge-based ones. Engagement dipped on weekends — members skip Saturday/Sunday prompts.","Make it permanent. Drop weekend prompts (M-F only). Switch to 80% opinion-based, 20% knowledge-based questions."
"Welcome DM Automation — new member onboarding","A 5-day automated DM sequence will increase 30-day retention by 20%.","Discord DM (via Carl-bot)",2026-03-15,2026-04-15,"30-day retention improved 11% (from 62% to 73%). Day-2 DM (profile setup prompt) had highest click-through rate.","Automation helps but personal touch matters more — members who replied to any DM had 85% retention vs 58% who didn't engage.","Add a human check-in call on day 4 for all new members. A/B test automated vs human-welcome for 1 month."
"Monthly Member Spotlight — public recognition","Featuring one member per month in a spotlight post will increase NPS promoter score by 10%.","#member-spotlight channel + newsletter",2026-04-01,2026-05-01,"NPS promoters stayed at 52% (no significant change). However, featured members showed 40% increase in weekly posts after their spotlight.","Spotlight doesn't move overall NPS much but strongly impacts the featured member's engagement. Good for retention of active members, not for broader sentiment.","Expand to bi-weekly spotlights. Add a nomination system so members can nominate each other. Measure impact on retention rate instead of NPS."
"Tiered Referral Rewards — 3 tiers instead of 1","Tiered rewards (3/5/10 referrals) will increase total referrals by 25% compared to flat 1-month-free reward.","Email invite + referral link",2026-04-10,2026-05-10,"Total referrals increased 32% (from 22 to 29). The 3-referral tier had 80% of all redemptions. The 10-referral tier was never reached.","Tiered rewards work. 3-referral level is the sweet spot. 5 and 10 feel too far away. People shared their link most in the first week after joining.","Simplify to 2 tiers: 3 referrals = 1 month free, 5 referrals = 2 months + exclusive access. Test for 6 weeks."
"Timezone-Rotated Live Events — alternating ET/PST/UK","Rotating event times across 3 time zones will increase event attendance by 40% and improve international member NPS.","Circle live events + Zoom",2026-04-15,2026-05-15,"Overall attendance increased 52%. PST events averaged 18 attendees (was 6). UK events averaged 11. ET events stayed at 22 (was 20). International members' satisfaction up 0.8 points.","Time zone rotation is a clear win. ET still gets most attendance but PST growth was dramatic. UK attendance is lower but consistent — worth keeping.","Add a monthly APAC-friendly time slot (8am ET = 8pm Singapore). Keep rotating ET/PST/UK weekly."
"Free Trial — 7-day premium access for free members","Offering a 7-day free trial of the paid tier will convert 15% of free members and increase overall conversion rate by 5%.","Landing page + in-app prompt",2026-05-01,2026-06-01,"Free trial started by 34 free members. 8 converted to paid (23.5% conversion). Overall conversion rate increased from 8% to 10.2%.","Free trial converts well. Members who used the trial engaged 3x more. Best conversion came from members who'd been free for 30-60 days (not brand new).","Make free trial permanent but limit eligibility to free members who've been active for 30+ days. Target 12% conversion rate in next quarter."
"Weekly Digest — curated top posts email","A Friday weekly digest email will increase weekly active member rate by 10% by surfacing content members might miss.","Email (Substack)",2026-05-05,2026-06-05,"Weekly active rate increased 7%. Open rate was 68%. Click-through rate was 14%. 12 lapsed members re-engaged after receiving the digest.","Digest is effective for re-engagement, especially for lapsed members. Working members who don't browse daily appreciate the curation.","Add a member-wins section to the digest. A/B test Monday vs Friday send day. Measure impact on both engagement AND churn reduction."
"New Member Orientation Call — monthly live walkthrough","A monthly live orientation call will increase 14-day retention by 15% and reduce time-to-first-post.","Zoom + Circle event",2026-05-10,2026-06-10,"14-day retention increased 9%. Average time-to-first-post dropped from 4.2 days to 2.8 days. Average 12 attendees per session.","Orientation calls work. Most effective component was the live Q&A — members who asked questions had highest retention. Having a current member co-host added social proof.","Expand to bi-weekly. Add a structured 30-min format (15 min walkthrough + 15 min open Q&A). Recruit a member co-host rotation."
"Ambassador Program — structured application process","Creating a formal ambassador application process will increase active ambassadors from 3 to 6 within 2 months.","Community + application form",2026-05-15,2026-06-10,"5 new applications received. 3 accepted as ambassadors. 2 waitlisted for next round. Application quality was high — all applicants were active members for 90+ days.","Formal process attracts quality candidates. The application itself filtered out people who weren't serious. Current ambassadors helped review candidates — their input was invaluable.","Run another application round at the start of Q3. Add a referral bonus for ambassadors who recommend a new ambassador who's accepted."
"Member Directory by Expertise — searchable database","A searchable member directory sorted by expertise areas will increase 1-on-1 connection requests by 30%.","Circle member profiles + custom field",2026-05-20,2026-06-10,"Directory added. 64 members filled in their expertise tags. Connection requests increased 24%. Most-used tags: Content Marketing (42%), Community Building (38%), SaaS Growth (31%).","Adoption was high but data quality varied — 30% of entries were vague (just listed 'marketing'). Structured dropdown tags worked much better than free-text fields.","Add required dropdown fields for new members during onboarding. Backfill existing members with a monthly prompt to update their profile. Target 80% directory completion rate."
