Day,Action,Channel,Copy / Template,Goal Metric
"Which day since join","What happens","Where it happens","What the message says","What success looks like"
1,"Send welcome DM","Discord DM","Hey {name}, welcome to {community}! Start by picking your roles in #roles and say hi in #introductions.","Member opens DM and clicks role link"
1,"Post welcome message","#welcome","We're glad you're here! Drop a comment below with: your name, where you're from, and what you're hoping to learn.","Welcome post receives 5+ reactions"
2,"Share start-here guide","#resources","Here's your roadmap: the top 3 channels to follow, how to get notifications right, and where to find past events. Read more → {link}","Guide receives 10+ views"
2,"Trigger role selection prompt","#roles (auto)","Pick your interest roles to unlock the right channels for you. Choose from: Creator, Solopreneur, Marketer, Developer, or Student.","Member selects at least 1 role"
3,"Send community guidelines","#rules (pinned)","Quick rules: be respectful, no spam, self-promo in #shameless-plug only. Breaking rules = warning then removal.","Member reacts with ✅ to confirm"
3,"Personal outreach DM","Discord DM","Hey {name}, just checking in — any questions about how things work? I'm here to help! — {CM name}","Member replies or asks a question"
4,"First engagement prompt","#general","Icebreaker: What's one thing you're working on right now that excites you? Share a sentence or a photo!","Member posts for the first time"
4,"Assign default roles","System (auto)","Auto-assign member role + interest-based roles based on selection.","Roles assigned within 24 hours"
5,"Event calendar share","#events","Here's what's coming up this month: {list events}. Mark your calendar and grab the event role to get reminders.","Member RSVPs to 1+ event"
5,"Member spotlight invitation","#spotlight","Want to be featured? Reply with a 3-sentence intro and what you do. Featured members get a special role!","5% of new cohort submits spotlight"
6,"Resource library orientation","#resources","Quick tour: check out the resource library with templates, guides, and tools members are using right now.","Member downloads at least 1 resource"
7,"Feedback checkpoint","Discord DM","You've been here a week! Quick pulse check: rate your experience so far 1-5. Anything we can improve?","Feedback response rate > 30%"
7,"First-week celebration","#general","Celebrate all new members who made it through week 1! Tag them and share a welcome gif.","3+ members engage with celebration post"
10,"Community challenge invite","#events","Week 2 challenge: post your intro in #introductions if you haven't yet, and tag 2 other members. First 10 get a shoutout.","40% of new members participate"
14,"Onboarding complete milestone","#announcements","You've graduated onboarding! You now have full access to all channels. Here's what to explore next: {link}","Member is active in 2+ channels by day 14"
