Phase,Task,Owner,Timeline,Budget Item,Estimated Cost,Notes
"Stage of the event lifecycle","What needs to be done","Who handles it","When it should be done by","What it costs money for","Expected spend","Details and dependencies"
"Planning","Define event goal and format",Community Manager,6 weeks before,None,0,"AMA, workshop, panel, or social hour? Align with community goal."
"Planning","Choose date and time (consider timezones)",Community Manager,6 weeks before,None,0,"Poll members for best time. Avoid Monday mornings and Friday afternoons."
"Planning","Set budget and resource needs",Admin,5 weeks before,Event budget,150,"Covers speaker honorarium, tool costs, and prizes if applicable."
"Preparation","Confirm speakers or hosts",Community Manager,4 weeks before,Speaker honorarium,100,"Reach out 6 weeks out. Confirm 4 weeks out. Have a backup."
"Preparation","Create event page and registration",Content Creator,4 weeks before,Event platform (Luma / Zoom),30,"Set up registration, calendar links, and reminder emails."
"Preparation","Design promotional graphics",Content Creator,3 weeks before,Design tools,20,"Canva templates or hire a designer. 3 social posts minimum."
"Preparation","Write event script and talking points",Content Creator,2 weeks before,None,0,"Share with speakers 1 week before for feedback."
"Preparation","Set up Discord event + voice channel",Admin,1 week before,None,0,"Schedule event in Discord. Create temporary voice channel if needed."
"Preparation","Send calendar invites and reminders",Community Manager,3 days before,Email tool (ConvertKit / Mailchimp),0,"Reminder sequence: 3 days, 1 day, 1 hour before."
"Execution","Host event go-live",Community Manager,Day of,None,0,"Arrive 15 min early. Test audio/video. Welcome attendees."
"Execution","Live moderation and Q&A management",Admin,Day of,None,0,"Screen questions, manage chat, handle technical issues."
"Post-Event","Send thank-you and recording",Community Manager,1 day after,None,0,"Email + community post: recording, key takeaways, next steps."
"Post-Event","Collect feedback survey",Community Manager,2 days after,Survey tool (Google Forms / Typeform),0,"3-5 questions. Offer incentive for completion (discount or resource)."
"Post-Event","Post recap and highlights",Content Creator,3 days after,None,0,"Write summary post in #announcements with clips and quotes."
"Post-Event","Run retrospective with team",Community Manager,1 week after,None,0,"What went well? What to improve? Update SOP for next event."
