Crisis Type,Severity,Response Protocol,Communication Channel,Timeline,Responsible Person
"What happened","Low / Med / High / Critical","Step-by-step response process","Where to communicate","Target resolution time","Who owns the response"
"Member posts sexually explicit content in general channel",Critical,"1. Delete the post immediately. 2. Ban the member permanently. 3. Post a brief public note that content was removed for violating guidelines. 4. DM affected members who saw it (if identifiable). 5. Log incident with timestamp and action taken. 6. Team debrief within 24 hours.","#announcements for public note. DMs for affected members. Internal chat for team debrief.",30 min,"Community Manager + Admin"
"Moderator accused of abusive behavior toward a member",High,"1. Suspend moderator's privileges pending investigation. 2. DM the affected member for full details within 2 hours. 3. Review all moderator interactions in the past 7 days. 4. Interview other mods. 5. Make a decision within 48 hours. 6. Communicate outcome to both parties separately.","DM with affected member. Private mod channel for investigation. #announcements only if a public statement is needed.",48 hours,"Community Manager"
"Members organizing a mass exodus to a competing community",Medium,"1. Identify leaders of the exodus — do not confront publicly. 2. DM top-engaged members individually to understand grievances. 3. Address legitimate complaints publicly with a concrete action plan. 4. Do not badmouth the competing community. 5. Run a retention campaign for remaining members.","DMs to engaged members. #announcements for action plan. Private mod channel for strategy.",72 hours,"Community Manager + Admin"
"Server or platform outage during a paid event",High,"1. Post immediate acknowledgment on your status page and social channels. 2. Send email to all event registrants with ETA and apology. 3. Reschedule or extend the event window. 4. Offer compensation (extended access, partial refund, or bonus content). 5. Post post-mortem within 1 week.","Email blast to members. Social media (Twitter/LinkedIn). Community #announcements. Event page.",4 hours,"Admin + Community Manager"
"Member threatens legal action against the community or its leadership",Critical,"1. Do not respond to the threat directly. 2. Do not delete any related content. 3. Escalate to legal counsel immediately. 4. Suspend the member's account pending resolution. 5. Preserve all related logs and messages. 6. Only communicate through legal counsel from this point.","Legal counsel only. No public communication until legal advises otherwise.",24 hours to legal escalation,"Founder / Owner + Legal Counsel"
"Negative public post about the community goes viral on Twitter/LinkedIn",High,"1. Assess the post — is it valid criticism or bad-faith attack? 2. If valid, reply publicly acknowledging the issue and sharing your plan to fix it. 3. If bad-faith, do not engage publicly. 4. Rally your champions to share their genuine positive experiences (do not script them). 5. Monitor sentiment for 48 hours.","Reply publicly on the same platform. Internal team coordination via private chat. Community #announcements as needed.",12 hours,"Community Manager + Founder"
"Billing error charges 200 members incorrectly",Critical,"1. Acknowledge the error immediately in #announcements and email. 2. Pause all billing processes. 3. Issue refunds within 24 hours — no questions asked. 4. Add a credit or free month as a goodwill gesture. 5. Send personal apology email from the founder. 6. Publish post-mortem with root cause and prevention plan.","Email blast to all affected members. #announcements in community. Individual apology emails for top-tier members.",6 hours for refund,Admin + Billing + Founder
"A community member passes away unexpectedly",Medium,"1. Confirm the facts with a trusted source (family member or close friend). 2. Post a respectful tribute in a dedicated thread. 3. Offer the channel as a space for members to share memories. 4. Check in privately with close community friends. 5. Respect the family's privacy wishes. 6. Do not speculate or share unconfirmed details.","Dedicated tribute thread in community. DMs to close community friends. #announcements for factual notice only.",Same day — tribute. 1 week — follow-up.,Community Manager + Founder
"Spam bot swarm floods all public channels",Medium,"1. Enable slow mode in all public channels. 2. Activate bot captcha on join. 3. Mass-ban identified bot accounts (IP-based when possible). 4. Clean up all spam messages. 5. Post update in #announcements explaining what happened and what's been done.","#announcements for member update. Internal mod channel for cleanup coordination.",2 hours,"Admin + Moderation Team"
"Founder or lead CM announces departure from the community",High,"1. Plan the transition message carefully — do not post emotionally. 2. Announce the departure with a thank-you message highlighting what's next for the community. 3. Introduce the replacement or interim lead immediately. 4. Hold a town hall or AMA within 1 week. 5. Reassure members about continuity of programs and events.","#announcements for departure message. Town hall / live stream for Q&A. Email for paid members.",1 week transition period,"Founder + Successor + Community Manager"
"Doxxing or harassment incident targeting a member",Critical,"1. Delete the doxxing/harassment content immediately. 2. Permanently ban the perpetrator. 3. DM the targeted member offering full support. 4. Offer to assist with platform reporting if the member chooses. 5. Update security settings to prevent recurrence. 6. Post a brief community-wide statement reinforcing anti-harassment policy.","DM with targeted member. #announcements for policy reinforcement. Private mod channel for investigation.",1 hour,"Admin + Community Manager"
