Step #,Action,Owner,Time Required,Success Criteria,Notes
"The order in this process","What needs to be done","Who does it","How long it takes","How you know it's done right","Tips, warnings, or references"
1,"Verify the member's identity and account status. Check join date, membership tier, and recent activity log.",Community Manager,5 min,"Confirmed member exists in the database, membership is active, no flags on account.","Pull up their member profile in Circle/Discord/Skool first. If they joined less than 7 days ago, escalate to the onboarding sequence instead."
2,"Review the full conversation history. Read the member's original message or ticket, check any prior interactions, and look up their engagement history.",Community Manager,10 min,"Complete understanding of the member's context, issue history, and sentiment before responding.","Check #feedback channel, DM history, and support ticket system. If member has submitted more than 2 tickets this month, flag for manager review."
3,"Draft a personalized response addressing the member's specific concern. Use their name, reference their history, and answer all questions asked.",Community Manager,8 min,"Response addresses every question asked, uses member's name, and sets clear expectations for next steps or resolution time.","Default templates are OK as a starting point but customize at least the first paragraph. Never paste an unmodified canned response."
4,"Tag the appropriate internal team members if the issue requires escalation beyond community management scope.",Community Manager,2 min,"Correct team (Content, Product, Tech, Billing) tagged with relevant context. Priority level clearly communicated in the tag.","Use @mentions judiciously. Only tag when action from that team is explicitly needed. For urgent issues, tag + send a follow-up DM."
5,"Send the response via the appropriate channel (public reply, DM, or email). Log the interaction and update the member's status.",Community Manager,3 min,"Response sent. Interaction logged in the Feedback Collection System or CRM. Member status updated if applicable.","Public replies build trust (others see you're responsive). Private DMs for sensitive issues like billing disputes or moderation actions."
6,"Set a follow-up reminder based on the issue type and urgency. High-priority items get a 24-hour check-in. Standard items get a 72-hour check-in.",Community Manager,2 min,"Reminder created in task management system with all relevant context. Follow-up window matches the priority level.","Use a recurring check system rather than relying on memory. A missed follow-up erodes trust faster than a slow first response."
7,"Execute the follow-up check-in. Confirm resolution or escalate if the issue is still open. Close the loop with a brief summary.",Community Manager,5 min,"Member confirms resolution OR escalation path is activated. Ticket status updated to Resolved or Escalated.","Always ask: 'Did this resolve your concern?' A closed ticket doesn't mean a resolved concern. If member doesn't respond within 48 hours, send one more check-in then close."
8,"Document any patterns or insights from this interaction in the weekly ops review doc. Note any process improvements suggested by this case.",Community Manager,5 min,"One-paragraph summary added to the weekly review doc. Any process improvement ideas are captured as actionable suggestions.","This step prevents recurring issues from being treated as one-offs. Three similar tickets in a month = a system problem, not a people problem."
9,"Review the weekly ops doc and identify recurring themes or systemic issues across all interactions from the past 7 days.",Community Manager,15 min,"At least 3 recurring patterns identified or confirmed none exist. Action items created for systemic fixes.","Look for patterns across tickets: multiple members asking the same question means your documentation isn't clear. Multiple billing complaints means your checkout flow needs attention."
10,"Archive the resolved ticket and update any relevant knowledge base articles, FAQs, or help docs based on what was learned.",Community Manager,10 min,"Knowledge base updated reflecting the resolution. FAQ or help doc revised if this interaction revealed gaps. Ticket archived with complete resolution notes.","This step closes the loop permanently. If you don't update your knowledge base, the same question comes back next week from a different member."
