Month,Revenue Source,Amount,Subscribers,ARPU,Notes
"Which month","Where the money came from","Total revenue for this source","Paying members at month end","Average revenue per user","Context about this month"
2026-01,Membership subscriptions,"$1,450",58,"$25.00","Launch month. 58 members mostly from early-bird promo at $25/mo."
2026-01,One-time setup fees,"$580",29,"$20.00","Setup fee for paid tier onboarding. Waived for annual signups."
2026-01,Total,"$2,030",58,"$35.00","Solid launch. 8% free-to-paid conversion in first 30 days."
2026-02,Membership subscriptions,"$1,740",62,"$28.06","Price moved to standard $29/mo. Added 12, lost 8 churned."
2026-02,Digital products,"$320",—,"—","Sold 2 content templates at $160 each. One-time revenue."
2026-02,Total,"$2,060",62,"$33.23","MRR growing slowly. Digital products filling the gap."
2026-03,Membership subscriptions,"$2,088",72,"$29.00","Hit 72 paid members. Ambassador program driving referrals."
2026-03,Coaching calls,"$600",6,"$100.00","3 VIP members bought 2 coaching calls each at $100/session."
2026-03,Total,"$2,688",72,"$37.33","Best month yet. Coaching calls showing upside for VIP tier."
2026-04,Membership subscriptions,"$2,262",78,"$29.00","Steady growth. 6 new paid, 2 churned. Net +4."
2026-04,Courses,"$1,200",—,"—","Launched 'Community Building 101' pre-sale. 30 enrollments at $40."
2026-04,Total,"$3,462",78,"$44.38","Course launch boosted revenue 29% over March. Good momentum."
2026-05,Membership subscriptions,"$2,610",90,"$29.00","Crossed 90 paid members. Retention rate holding at 76%."
2026-05,Coaching calls,"$800",8,"$100.00","VIP members scaling coaching usage. Repeat buyers emerging."
2026-05,Affiliate commissions,"$180",—,"—","15% rev-share from partner tool recommendations. New stream."
2026-05,Total,"$3,590",90,"$39.89","Diversifying revenue. Affiliate income is passive but small."
2026-06,Membership subscriptions,"$2,784",96,"$29.00","On track for 100 members by end of month. 13% MoM growth."
2026-06,Courses (round 2),"$900",—,"—","Second course cohort. 18 enrollments at $50 (price increase)."
2026-06,Coaching calls,"$1,000",10,"$100.00","Coaching becoming a reliable $1K/mo stream. Adding 2 more slots."
2026-06,Total (projected),"$4,684",96,"$48.79","Projected best month. Course + coaching + subs converging."
