Category,Question,Score (1-5),Notes,Action Items
"Area being assessed","The specific question you're answering","Rate from 1 (needs work) to 5 (excellent)","Context, observations, or evidence","Follow-up tasks based on this score"
Engagement,Do members participate in discussions at least 3x per week?,3,"Posts per member dropped from 4.2/wk in Q1 to 2.8/wk in Q2. Welcome Wednesday is the only consistently active thread.","Run a content audit to identify which post types drive the most replies. Test a daily prompt for 2 weeks."
Engagement,Are at least 40% of members active on a weekly basis?,2,"Current weekly active rate is 31%. Churned 18 members last quarter. New member onboarding needs review.","Implement a 7-day re-engagement DM sequence for members inactive >30 days. Review onboarding flow for friction points."
Engagement,Do power users have clear pathways to contribute as moderators or ambassadors?,4,"3 ambassadors active, but only 1 recruited this quarter. No formal pathway doc exists — all done ad-hoc.","Create a formal ambassador job description and application process. Target 2 new ambassadors next quarter."
Retention,What is the 30-day retention rate for new members?,3,"30-day retention is 62%, down from 71% last quarter. Most drop-off happens between day 7 and day 14.","Audit day 7-14 onboarding sequence. Add a day-10 personal check-in DM from a community manager."
Retention,Have you conducted a churn analysis in the past 90 days?,1,"No formal churn analysis done. Exit surveys were sent but only 3 responses received.","Create a 3-question exit survey. Automate it to trigger on account deletion or membership cancelation."
Retention,Are reactivation campaigns run quarterly for dormant members?,2,"No reactivation campaigns in Q2. 45 members inactive for >60 days.","Plan a Q3 reactivation campaign: 3-email sequence + personal invite back. Target 20% reactivation rate."
Growth,Is net member growth positive month-over-month?,4,"Net growth of +8% MoM. Added 34 new members last month, lost 12. Growth is steady but not accelerating.","Explore one additional acquisition channel (partner cross-promotion or guest content on a newsletter)."
Growth,Are at least 30% of new members coming from referrals?,3,"Referral rate is 22%. Current referral reward is 1 month free.","Test tiered rewards: 3 referrals = 1 month free, 5 referrals = 2 months free. Measure conversion rate change."
Content,Is content published on a consistent weekly schedule?,5,"Content calendar followed consistently for 6+ months. 95% of scheduled posts go out on time.","No action needed — current publishing cadence is healthy. Consider surveying members for content format preferences."
Content,Do posts receive an average of 5+ reactions or replies?,3,"Average is 3.8 interactions per post. Educational content performs best (6+). Promotional posts drag the average down.","Shift promotional posts to 1x per week (was 2x). Increase educational and interactive content by 1 post each."
Revenue,Is revenue growing or stable quarter-over-quarter?,4,"Revenue up 12% QoQ from $3.2K to $3.6K. Conversion rate from free to paid held at 8%.","Evaluate raising paid tier price by $5/mo for new members. Test with a grandfathered existing members."
Revenue,What is the current ARPU and is it trending up?,3,"ARPU is $18.50, down from $19.20 last quarter. More members on the basic tier vs premium.","Design an upsell pathway from basic to premium tier. Consider a limited-time upgrade discount.}
Community Culture,Would members describe this community as welcoming and inclusive?,4,"Positive sentiment in recent survey (4.2/5). 2 moderation incidents handled well.","Maintain current approach. Consider adding a monthly member spotlight to reinforce positive culture."
Community Culture,Are community guidelines enforced consistently?,4,"Guidelines enforced consistently. Warning system works well. Only 1 escalation to ban this quarter.","Add a public transparency log of moderation actions to build trust (anonymized)."
Operations,Are weekly team check-ins happening?,5,"Standup happens every Monday, 100% attendance. Agenda is shared 24h in advance.","No action needed. Consider rotating the facilitator role quarterly."
Operations,Is the KPI dashboard updated weekly?,2,"Dashboard was updated only 4 times in Q2. Tracking fell off after the community manager transitioned.","Assign a single owner for KPI dashboard updates. Set a recurring Friday 3pm calendar reminder."
